number,interest,title
427225,기타 재산범죄,"우산을 잘못 가져간 경우, 법적 처벌 가능성은?"
427228,명예훼손/모욕 일반,언어폭력 혐의에 대한 상담 요청
427230,기업법무,선불유심 보이스피싱 문제 상담
427231,계약일반/매매,베트남에서 발생한 물품대금 회수 문제에 대한 상담
427232,형사일반/기타범죄,검사항소의 인용 확률과 관련된 상담글
427233,기타 재산범죄,선불유심 보이스피싱 문제와 대처 방안
427236,의료/식품의약,병원 소송 절차와 관련된 질문들
427237,성폭력/강제추행 등,보완수사요구결정에 대한 피해자의 입장과 대처방안
427238,폭행/협박/상해 일반,데이트 폭력 (폭행 및 스토킹) 상담
427239,의료/식품의약,"병원에서 의료사고, 치료비 보상 약속 후 거부하는 경우"
427240,성폭력/강제추행 등,피해자 과거 고소건에 대한 검찰의 인식
427241,계약일반/매매,웨딩앨범 환불 거절에 대한 상담
427242,임대차,"전세 계약과 융자, 근저당 문제에 대한 상담"
427244,디지털 성범죄,일본 AV 다운로드와 관련된 법적 처벌에 대한 궁금증
427245,세금/행정/헌법,다가구주택에서의 세대분리와 전입신고에 대한 상담
427246,고소/소송절차,피고소인이 고소장을 열람하는 범위에 대한 질문
427247,디지털 성범죄,랜덤채팅에서의 문제 상황과 법적 대응 방법
427248,디지털 성범죄,청소년 시절 구매한 불법 영상이 성인이 된 후에 발각되면 어떻게 되나요?
427249,디지털 성범죄,"랜덤영상통화 앱을 통한 중요부위 노출, 고소 가능성 및 처벌"
427250,노동/인사,복수노조와 단체협약의 채무적 부분 적용 여부에 대한 상담
427251,교통사고/도주,차선 변경 후 뒤차의 경적과 상향등 반응에 대한 상담글
427252,임대차,전세집 퇴거 후 임차권 등기와 지연손해금 청구에 대한 상담
427253,이혼,양육권 분배 후 아이를 키우는 문제에 대한 상담
427254,기타 재산범죄,대부업자 고소와 이자 반환 방법에 대한 상담
427256,사이버 명예훼손/모욕,인스타그램을 통한 모욕죄 성립 여부 및 대응 방법
427257,사이버 명예훼손/모욕,악플에 대한 법적 대응 가능성
427258,사기/공갈,사기죄 고소 후 고소 취하 요청에 대한 상담
427260,대여금/채권추심,개인정보 유출에 대한 대응 방안
427262,기타 재산범죄,"절도, 업무방해, 주거침입으로 인한 고소와 협박 문제"
427269,형사일반/기타범죄,범죄수사경력회보서에 대한 질문과 이해
427270,병역/군형법,현역 병사의 상습 도박 징계처분에 대한 상담
427272,소비자/공정거래,사기 접수 후 환불 제안 받은 경우의 대처 방안
427273,디지털 성범죄,통매음 고소 후 변호사 선임에 대한 상담
427275,기타 재산범죄,임금체불 피해와 민사로의 피해금 회복 방법
427276,사이버 명예훼손/모욕,명예훼손죄 중 특정성 성립요건에 대한 질문
427277,사이버 명예훼손/모욕,사실적시 명예훼손에 대한 이해와 상담
427279,병역/군형법,군인이 고소당했을 때의 처벌과 절차
427280,사기/공갈,"투자 후 돈을 회수하지 못하는 경우, 어떻게 해야 할까?"
427281,성매매,경찰서로부터의 전화와 변호사 선임에 대한 고민
427282,노동/인사,베이비시터 급여 미지급 문제 해결 방법
427285,계약일반/매매,부동산 가계약 배액배상 가능 여부 확인
427286,이혼,"사실혼 이혼과 재산분할, 위자료 청구에 대한 문의"
427287,사기/공갈,보이스피싱 피해와 온라인환불센터 이용 경험 공유
427288,횡령/배임,전세사기 서류 작성 및 민사 진행 상담
427289,고소/소송절차,증거 송치 충분성에 대한 상담글
427290,기타 재산범죄,반려묘 입원 중 급사에 대한 상담
427291,이혼,외도 이혼 후 양육비 청구 가능성에 대한 상담
427292,기타 재산범죄,형사와 민사를 동시에 진행 가능한가? 투자와 주식 현금화 문제 상담
427293,사기/공갈,용도사기에 대한 질문과 해결방안
427294,명예훼손/모욕 일반,"모욕죄 고소 피해자 상담, 증거 제출과 대처방안"
427296,형사일반/기타범죄,모욕죄 및 무고죄로 인한 조사 상황과 대처 방안
427298,기타 재산범죄,소액절도 합의 불발시 기소유예 가능성에 대한 상담
427300,대여금/채권추심,대여금 소송 승소 후 공정증서정본 발급방법
427302,사기/공갈,휴대폰 대여 상황에서의 횡령죄 성립 여부
427304,임대차,전세사기와 관련된 지급명령 및 전세보증보험반환 소송에 대한 상담
427305,임대차,월세 미납에 대한 대응 방법과 법적 절차
427306,사이버 명예훼손/모욕,모욕죄 형사 및 민사 질문 상담
427307,성폭력/강제추행 등,강제추행 피해자와의 합의 관련 상담
427311,고소/소송절차,직원의 횡령에 대한 민사소송 준비
427312,기타 재산범죄,절도죄로 인한 처벌과 관련된 상담 내용
427313,디지털 성범죄,게임에서의 다툼으로 통신매체음란죄 성립 가능성
427314,성매매,출장 마사지에 대한 질문과 답변
427315,교통사고/도주,택시 승객 후방추돌 상황에 대한 합의금 문의
427316,고소/소송절차,탄원서 제출과 개인 정보 조회에 대한 질문
427317,노동/인사,장애인 등록 행정소송의 실익 여부
427318,임대차,부동산과 임대인 전세계약 및 전세사기 관련 상담 요청
427319,고소/소송절차,검사 구약식 처분 후 약식 명령까지의 시간과 절차
427321,사이버 명예훼손/모욕,경찰로부터의 전화와 주민등록번호 요청에 대한 상담
427324,성폭력/강제추행 등,클럽에서의 사건에 대한 상담
427325,명예훼손/모욕 일반,명예훼손 고소에 대한 상담
427326,임대차,"전세연장 거부 후 집주인 연락두절, 전세금 회수 방법은?"
427329,교통사고/도주,교통사고로 인한 악기 손상과 관련된 소송 준비 방법
427334,소년범죄/학교폭력,심의위원회 출석시간 및 진행 방식에 대한 질문
427335,디지털 성범죄,몰카/카찰죄 합의 후 재신고 고민
427336,고소/소송절차,1년 전 폭행 신고 가능성과 증거 확보 방법
427338,소년범죄/학교폭력,아이 학폭 관련 상담 진행 중
427340,임대차,전세금 미반환 상황에서의 대응 방안
427342,디지털 성범죄,통매음 가해자인데 성립되나요? 선임해야할까요?
427343,매매/소유권 등,분양잔금 미납과 지급명령에 대한 상담
427344,고소/소송절차,무단점거에 대한 대응방안
427345,기업법무,임금체불 및 횡령 고소 가능성에 대한 상담
427346,대여금/채권추심,민사소송 공시송달로 인한 압류 및 채권추심 문제
427348,폭행/협박/상해 일반,폭행죄로 고소당한 상황에서 합의가 이루어지지 않을 경우의 대처 방안
427350,고소/소송절차,지하철에서 폭행 당한 후 합의금 요구 상황 해결 방안
427351,형사일반/기타범죄,신고 시 타인이 제공한 가해자 정보 사용 가능성에 대한 질문
427353,형사일반/기타범죄,변조공문서행사에 대한 질문과 상담
427354,미성년 대상 성범죄,음란영상 대량 판매에 대한 법적 상담
427360,손해배상,상해보상의 적합성에 대한 질문
427361,기타 재산범죄,점유물 이탈횡령죄와 불법영득의사 증명에 대한 상담
427362,디지털 성범죄,통매음 고소 위기와 대처 방안
427363,노동/인사,산업체에서의 괴롭힘과 실업급여에 대한 상담
427364,손해배상,폭행 고소기한과 공소시효에 대한 이해
427367,임대차,전세계약 체결 후 발생한 문제와 소송 가능성에 대한 상담
427368,명예훼손/모욕 일반,통매음 신고에 대한 상담 요청
427371,대여금/채권추심,사해행위취소소송 패소 후 조정신청에 대한 절차와 대응 방안
427372,고소/소송절차,민사소송 중 거짓말 공격 대처 방법
427373,명예훼손/모욕 일반,통매음 및 명예훼손 / 모욕으로 고소를 하는 방법
427374,고소/소송절차,공판 검사가 제출한 추가증거 열람복사에 대한 상담
427378,노동/인사,전직원 퇴직금 미지급에 따른 민사소송 상황
427382,기타 재산범죄,"헤어진 연인과의 집 문제, 도어락 무단 변경에 대한 법적 대응"
427385,계약일반/매매,대여금의 채권 분류와 증거능력에 대한 상담
427386,손해배상,운전 중 고의적인 운전 방해로 인한 사고 상담
427387,사기/공갈,사기 당한 경험과 이후 절차에 대한 상담
427388,디지털 성범죄,10살 초등학생과의 모바일게임 채팅 경험 공유
427389,디지털 성범죄,미성년자와의 채팅어플 대화와 이후 합의에 대한 상담
427391,음주/무면허,음주운전 0.079 단순 상담글 : 작년 단순음주 단속 후 재판진행 상황과 질문
427392,사이버 명예훼손/모욕,검찰 항고 접수에 대한 상담글: 사이버명예훼손으로 인한 고소결과
427394,대여금/채권추심,부동산 임의경매 관련 질문
427395,IT/개인정보,통신이용자정보 통지에 대한 이해와 대처법
427396,교통사고/도주,주차 중 사고 처리 불이행에 대한 상담
427397,기타 재산범죄,스토킹 범죄의 성립 요건에 대한 이해
427398,마약/도박,약식기소 문자와 관련된 상담 내용
427401,사기/공갈,"중고나라 사기 상황, 물품 되찾는 방법은?"
427402,형사일반/기타범죄,선불유심 보이스피싱에 대한 경험 및 조언 요청
427403,형사일반/기타범죄,군기교육대 처분에 대한 합당성과 항고 가능성
427404,고소/소송절차,검사항소와 집행유예에 대한 고민
427405,이혼,배우자의 재산 파악과 재산 분할 청구금액 산정 방법
427406,고소/소송절차,약사의 호객행위에 대한 이해와 판단
427407,사기/공갈,핸드폰 명의 대여로 인한 소송 협박 상황 상담
427408,명예훼손/모욕 일반,인스타 스레드에서의 댓글로 인한 고소 가능성에 대한 질문
427410,사기/공갈,사기혐의 인정 가능성에 대한 상담
427411,사이버 명예훼손/모욕,명예훼손 고소 관련 상담
427413,임대차,전세금 일부 미반환 문제와 관련한 법적 방법
427414,고소/소송절차,"학생 핸드폰 확인, 교사의 권한인가?"
427415,고소/소송절차,악의적 소송에 대비한 증거 제출 방법
427416,고소/소송절차,민사재판 진행과정에서의 무성의/무책임 이슈
427417,손해배상,치과 보철물 치료 후 허위진단 고소 가능성에 대한 상담
427418,회생/파산,"구속, 파산 및 압류에 대한 이해와 대처 방안"
427419,고소/소송절차,피해아동보호명령청구에 대한 반론 및 조치 방안
427420,사이버 명예훼손/모욕,정보통신법 명예훼손으로 고소 대응 방법
427421,이혼,항소 기간과 절차에 대한 궁금증 해결
427422,대여금/채권추심,회생신고와 처분금지가처분 관련 상담
427423,형사일반/기타범죄,공무원 시보 기간 중 수사개시 통보와 해임가능성에 대한 상담
427425,회생/파산,개인회생 인가 후 혼인시 재산 영향 여부
427426,사이버 명예훼손/모욕,온라인 게임 내 권한 남용으로 인한 피해 상담
427427,디지털 성범죄,음란물 유포죄 성립에 대한 상담
427428,디지털 성범죄,인스타 영상 구매와 관련된 법적 문제
427429,노동/인사,상여금 미지급 청구 가능 여부 문의
427430,손해배상,미용시술 부작용과 상담
427431,고소/소송절차,스토킹처벌법에 대한 이해와 적용
427432,기업법무,대화내용 무단 공유와 명예훼손 가능성
427433,손해배상,웨딩드레스 피해보상 가능성에 대한 상담
427434,고소/소송절차,"민사, 형사 소송 중 이사와 관련한 주소 정정의 필요성"
427435,성폭력/강제추행 등,성추행 강간으로 기소된 사건에 대한 상담
427436,사기/공갈,인테리어 협업 중 발생한 문제와 법적 대응 방안
427438,손해배상,개물림 사고와 관련된 공갈미수 검찰 송치 상황
427439,기타 재산범죄,사기 고소장 작성과 수사요청사항에 대한 상담
427441,고소/소송절차,스토킹으로 고소당한 후 경찰 조사 받는 경우
427442,성폭력/강제추행 등,"성범죄 보완수사요청, 증거불충분 가능성에 대한 상담"
427444,형사일반/기타범죄,도주치상 뺑소니 초범 실형 가능성에 대한 질문
427445,형사일반/기타범죄,"영상물 유포, 반포죄에 대한 대응 방법"
427446,임대차,전세사기 피해자의 강제집행절차 진행 방법
427448,사기/공갈,법인 및 투자 사기 상담
427449,기업법무,카톡 내용을 단톡에 공유한 사례에 대한 법적 고찰
427450,사기/공갈,농지 매입 관련 투자 의심 상담
427455,기타 재산범죄,청소년 고용금지 미부착으로 인한 벌금 문제 상담
427457,교통사고/도주,음주운전 항소심 기각 결정 시기에 대한 궁금증
427458,대여금/채권추심,대여금 문제와 무변론판결선고기일에 대한 상담글
427459,노동/인사,임금체불에 대한 문의
427460,명예훼손/모욕 일반,사이버 익명 사이트와 특정성 관련 문의
427462,기타 재산범죄,타인의 메신저 해킹에 대한 법적 대응 방안
427463,대여금/채권추심,대여금 문제와 무변론판결에 대한 상담
427464,사기/공갈,전세대출 사기와 실형 가능성에 대한 상담
427465,노동/인사,급여 문제와 연락 문제에 대한 상담
427466,이혼,부양료청구소송 재항고와 나홀로소송 기각에 대한 상담
427467,이혼,재산분할 비율에 대한 이해
427468,기타 재산범죄,점유물이탈횡령죄와 불법영득의사 증명에 대한 상담
427469,건축/부동산 일반,전세 거주 중 새 매수인의 월세 인상 문제
427471,디지털 성범죄,포렌식 방어 방법에 대한 상담
427472,교통사고/도주,자전거 도로에서의 보행자 사고 상담
427473,노동/인사,근로자의 불공정계약(용역계약) 승소 확률
427474,고소/소송절차,형사사건 항소와 상고에 대한 궁금증 해결
427475,명예훼손/모욕 일반,스토킹과 명예훼손에 대한 상담
427476,건축/부동산 일반,상가 누수 및 전기 문제로 인한 계약해지 상담
427478,디지털 성범죄,형사조정 관련 상담 및 이해
427479,계약일반/매매,전세보증금 반환과 합의서의 법적 효력에 대한 상담
427481,미성년 대상 성범죄,성범죄 공소시효에 대한 이해
427482,임대차,전세자금 부족 시 임대인 대응 방안
427483,사기/공갈,피의자 조사 없이 불송치에 대한 상담
427484,대여금/채권추심,공시송달 이후의 절차와 민사/대여금 소송에 대한 질문
427485,기업법무,약국 폐업시 잔여 약품 거래에 대한 안내
427487,손해배상,"의료과실, 허위광고 관련 교정치과 환불 문제"
427488,사기/공갈,사기(사기방조)죄에 있어 기망 고의의 입증여부 대처법에 대한 질문
427489,손해배상,병원 과실로 인한 피해보상 상담
427490,폭행/협박/상해 일반,"회사에서 업무 중 폭행을 당한 경우, 어떻게 대처해야 할까요?"
427491,노동/인사,프리랜서와 근로계약의 차이와 분쟁해결 방안
427492,기타 재산범죄,간판 및 벽면 훼손에 대한 법적 조치 방안
427493,고소/소송절차,증거 서류에 증거번호 기입 가능성에 대한 질문
427496,IT/개인정보,소프트웨어 라이선스 위반 관련 상담
427497,건축/부동산 일반,유치권 관련 문제 해결 방법에 대한 상담
427498,명예훼손/모욕 일반,명예훼손과 징역형의 관계에 대한 상담
427499,이혼,혼인무효 소송 가능성에 대한 상담
427502,대여금/채권추심,건물 담보 제공 후 민사소송 가능 여부 상담
427504,임대차,주택임대차 계약자 이름 변경에 따른 양도 및 전대 금지 위반 여부
427505,사기/공갈,중고마켓에서의 가품 구매 경험 및 신고 방법
427507,명예훼손/모욕 일반,자백만으로도 모욕죄 고소가 가능한가?
427509,교통사고/도주,버스 급출발 사고 후 채무부존재확인 소송 상담
427511,사기/공갈,형사소송 가능성에 대한 상담글
427513,폭행/협박/상해 일반,직장 내 폭행 사건에 대한 대응 방안 문의
427515,이혼,외도 증거 수집과 접근금지 위반에 대한 상담
427516,건축/부동산 일반,"공매로 넘어간 집의 누수 문제, 책임과 해결방안은?"
427517,사기/공갈,공동사업자 사기 획령에 대한 법적 조치 가능성
427520,손해배상,상가 건물 하자로 인한 계약 파기와 인테리어 비용 청구 가능성
427521,계약일반/매매,외주 작업 대금 체불 문제 상담
427523,폭행/협박/상해 일반,병원비 청구서 발송과 합의안 작성에 대한 질문
427524,성폭력/강제추행 등,강간죄로 고소 당할까봐 걱정되는 상황에 대한 조언
427525,명예훼손/모욕 일반,통매음 이의제기 후 검찰송치에 대한 상담글
427526,디지털 성범죄,갑작스런 아청물 발견과 그 후의 대처
427527,기타 재산범죄,공범과 같은 감옥에 구속되는지에 대한 상담
427528,소송/집행절차,손배소 동영상증거를 이동식저장매체로 법원에 제출하라는 보정명령을 받았습니다 등기제출가능?
427529,기타 재산범죄,영업방해로 인한 보상요구 가능성에 대한 상담
427530,손해배상,애견미용실 사고 대응 방법
427531,기타 재산범죄,시간이 지난 사기 상담에 대한 정보와 증거 수집 방법
427532,고소/소송절차,경찰의 불송치 결정에 대한 이의신청 가능성에 대한 상담
427533,사기/공갈,"빌린 돈을 민사로 받고 싶은 경우, 어떻게 해야 할까요?"
427534,고소/소송절차,피해자의 실업급여 수령이 가해자 감형에 영향을 미치는가?
427535,디지털 성범죄,불법 촬영물 시청에 대한 혼란과 불안
427536,폭행/협박/상해 일반,폭행을 당한 경우 보복폭행으로 인정받을 수 있을까요?
427537,형사일반/기타범죄,유흥업소에서의 상황에 대한 걱정
427538,상속,부담부증여와 유류분 원물반환에 대한 이해
427540,상속,아버지의 채무와 이자 문제에 대한 상담
427541,임대차,전세 보증금 반환 이슈와 대응 방안
427542,임대차,전세보증금 분활 반환 시 차액에 대한 법적 효력 가이드
427543,상속,상속 문제와 관련된 계좌 출금 이슈
427544,형사일반/기타범죄,스토킹 경고조치와 형사처벌에 대한 상담
427545,계약일반/매매,홈페이지제작 계약기간위반에 따른 환불 및 손해배상 방법
427546,소년범죄/학교폭력,녹음 파일 요청에 대한 법적 문제
427548,마약/도박,온라인 도박 초범과 기소유예에 대한 상담
427550,세금/행정/헌법,도로표지판 부딪힘 사고로 인한 상처봉합 및 보상 문제
427551,사기/공갈,게임 내 3자 사기 피해 공익목적으로 공론화 이후 고소협박에 대한 대응 방안
427553,성매매,준공무원 성매매 기소유예와 회사 통보 여부
427554,노동/인사,헤어디자이너의 임금체불 문제와 해결방안
427555,임대차,사무실 임대인의 개인회생 중 보증금 반환 및 계약 양도 가능성에 대한 상담
427556,기타 재산범죄,주식리딩방 사기와 관련된 질문
427557,임대차,상가 누수 문제로 인한 계약파기 상담
427559,대여금/채권추심,민사 승소 후 채무자 신용조사 불법여부에 대한 상담
427561,손해배상,산업단지 입주와 관련한 부동산 중개 문제: 손해배상 청구 가능성
427562,기타 재산범죄,절도죄 상담 요청에 대한 대처 방안
427563,건축/부동산 일반,건물 원상복구 의무 이행 지연과 임대료 부과의 정당성 문의
427564,이혼,부부간의 문제 해결을 위한 법적 절차 및 대리소송에 대한 안내
427566,손해배상,형사사건 종료 후 민사진행 방법과 피해보상금 산정
427568,손해배상,손해배상 소멸시효에 대한 질문
427569,대여금/채권추심,빌려준 돈 법적으로 회수 가능한가요?
427570,디지털 성범죄,통매음 고소 전 부제소 합의 상황에 대한 질문
427571,상속,유언동영상 및 유서 공증에 대한 절차와 비용
427572,기타 재산범죄,분실한 카드의 무인가게에서의 불법 사용에 대한 조치 방법
427573,폭행/협박/상해 일반,쌍방폭행 후 합의서 작성 관련 질문
427574,사기/공갈,보이스피싱 사건에 대한 상담과 조치 방법
427575,기타 재산범죄,실업급여 부정수급 조사와 관련한 출석 통지에 대한 상담
427576,임대차,"집이 물바다가 될 위기, 집주인 연락 회피 상황에서의 조치 방법"
427578,폭행/협박/상해 일반,"폭행 사건, 어떻게 대처해야 할까요?"
427579,손해배상,사무실 누수로 인한 손해배상에 대한 상담
427580,사이버 명예훼손/모욕,"디엠을 통한 불쾌한 대화, 신고 가능성에 대한 질문"
427581,계약일반/매매,제품 불량 발견 후 반품 불가 답변에 대한 상담 요청
427582,횡령/배임,차량 도난 신고 가능성에 대한 상담
427583,사기/공갈,만남매칭 사이트를 통한 사기 경험 및 상담 요청
427584,의료/식품의약,치과 실수로 인한 소송 가능성에 대한 상담
427585,고소/소송절차,법원 사건조회 관련 질문
427587,디지털 성범죄,불법촬영 및 명예훼손에 대한 상담 요청
427589,디지털 성범죄,카찰재범으로 인한 피해 상황과 처벌 가능성에 대한 상담
427591,고소/소송절차,선임 변호사와의 연락 두절 및 복대리인 찾기
427592,이혼,상간 소송에 대한 질문에 대한 답변
427593,교통사고/도주,음주운전 재판 진행 상황과 대처 방안
427594,디지털 성범죄,통매음 조건성립에 대한 상담
427595,사기/공갈,티켓 사기에 대한 조심과 대처 방법
427596,기타 재산범죄,개인 회생 및 파산 가능성에 대한 상담
427597,성폭력/강제추행 등,강제추행 초범에 대한 실형 가능성
427598,고소/소송절차,스토킹 성립 관련 질문
427601,기타 재산범죄,재판연기 필요성에 대한 상담글
427602,건축/부동산 일반,연립주택에서의 제비 문제 해결 방안
427603,형사일반/기타범죄,통매음 성립 여부에 대한 궁금증
427604,교통사고/도주,"교통사고 합의금 받았지만, 보험처리나 합의금 조정 가능성에 대한 상담"
427605,형사일반/기타범죄,과도한 합의금 요구와 관련한 질문
427606,사기/공갈,사기죄와 손해배상 청구에 대한 상담
427607,이혼,양육비 수령 가능성에 대한 고민
427608,고소/소송절차,정식재판청구 대응 방법과 변호사 선임 여부
427609,명예훼손/모욕 일반,모바일 게임에서의 통속과 성희롱에 대한 상담
427613,형사일반/기타범죄,"음주운전 후 술타기, 무혐의 가능성은?"
427614,사이버 명예훼손/모욕,모욕죄나 사이버쪽으로 고소 가능성에 대한 상담
427615,미성년 대상 성범죄,성매매 현장단속 후 계좌내역 확인에 대한 걱정과 변호사 선임의 필요성
427616,손해배상,도장에서 부상당한 아동의 치료비 청구 가능성
427620,기타 재산범죄,"차량에 분사된 계란물, 재물손괴죄에 해당하는가?"
427622,기업법무,직장내 도구 던지는 행위에 대한 문제점
427623,고소/소송절차,다중 죄명 상황에서의 합의 방법
427624,고소/소송절차,약식명령확정에 대한 질문과 이해
427625,사기/공갈,보험사기 사건과 공동불법행위자에 대한 구상금 청구 진행 방법
427626,사이버 명예훼손/모욕,"온라인 상의 명예훼손 고소, 고소장 작성 방법은?"
427627,명예훼손/모욕 일반,모욕죄 피의자의 대처방안에 대한 상담
427628,형사일반/기타범죄,모욕죄로 피해자 조사 받은 경험 공유 및 상담
427629,기타 재산범죄,무인 아이스크림 가게에서의 분실 카드 사용 문제 상담
427631,사기/공갈,코인 투자 사기와 민사소송 패소 가능성에 대한 고찰
427632,사이버 명예훼손/모욕,게임 내 명예훼손 고소와 특정성 성립 여부
427633,기타 재산범죄,주거침입으로 벌금낸 후 민사소장이 온 경우에 대한 대응방법
427634,교통사고/도주,"보복운전 및 모욕죄, 쌍방 여부에 대한 고찰"
427635,형사일반/기타범죄,민감정보 조회와 취업에 대한 고민
427636,대여금/채권추심,지인에게 돈을 빌려준 후 발생한 문제와 소송부담비용에 대한 이해
427637,폭행/협박/상해 일반,상황 해석과 대처 방안: '쌍방'이라는 판단이 맞는지
427638,이혼,상간소 무대응 1심 판결 항소 시 결과 예측
427639,임대차,월세집에서 발생한 소방사고와 보상 문제
427640,지식재산권/엔터,제품 표절에 대한 민형사 고소 진행 관련 조언 요청
427641,고소/소송절차,"유치원에서 아이의 손가락이 가위에 베여 상처를 입은 경우, 어떻게 해야 할까?"
427642,임대차,임차권등기 설정 후 이사 관련 정보
427643,형사일반/기타범죄,"창문 너머로 이성 알몸을 본 경우, 법적 대응 방안은?"
427644,사이버 명예훼손/모욕,"SNS에서의 욕설, 사이버 모욕죄로 고소 가능성 및 진행 방법"
427645,성폭력/강제추행 등,[준강간피해]증거가없어 불송치위기 상담글
427646,기타 재산범죄,부분합의도 감형사유가 될까요?
427647,기타 재산범죄,중고 거래 사기와 처벌에 대한 상담
427648,사이버 명예훼손/모욕,네이버 카페에서의 명예훼손 가능성에 대한 상담
427649,소송/집행절차,지인에게 대여금 소송 관련 상담
427650,계약일반/매매,스튜디오 폐업 통보와 웨딩플래너를 통한 계약 변경 상황
427651,건축/부동산 일반,전세계약 만기전 대항력 유지관련 문의
427652,기타 재산범죄,차량 도난 신고 및 점유물 이탈죄 성립 가능성에 대한 상담
427653,명예훼손/모욕 일반,모욕죄 수사와 관련한 상담
427654,기타 재산범죄,지속적인 영업방해로 인한 상담신청
427655,임대차,집합건물 간판 철거 책임과 임차인의 권리
427657,명예훼손/모욕 일반,사이버모욕죄 성립 가능성에 대한 질문
427658,사이버 명예훼손/모욕,사이버모욕죄의 성립 여부
427659,이혼,만1세 및 나이별 이혼소송 시 평균 면접주기에 대한 상담
427660,이혼,사실혼 상태에서 배우자의 외도 후 이혼 처리
427661,소송/집행절차,법인 양도 후 지급되지 않는 양도양수금에 대한 대응 방안
427662,손해배상,파티룸 사용 후 손해배상 요청 상담
427663,사기/공갈,10년 전 사건에 대한 검찰 조사 요청에 대한 상담
427664,미성년 대상 성범죄,청소년 간의 사진 교환 및 대화에 대한 법적 처벌 가능성
427665,기타 재산범죄,요양원 임대계약과 권리금 문제에 대한 상담
427666,IT/개인정보,온라인 중고장터 사기와 ecrm 개인정보 수집에 대한 이해
427667,사기/공갈,전 남친이 제 명의로 차를 사준 후의 문제 해결 방법
427668,공증/내용증명/조합/국제문제 등,위탁운영 계약해지 후 책임에 대한 상담
427669,기타 재산범죄,주거침입 피해와 합의금 적정액에 대한 고민
427670,임대차,상가건물 누수 피해 보상에 대한 상담
427671,손해배상,사진 활용 저작권 관련 문의
427673,사기/공갈,법적 조치에 대한 각서의 효력에 대한 상담
427674,손해배상,성형수술 손해배상 청구에 대한 상담
427676,기타 재산범죄,악성 명예훼손 댓글에 대한 고소 가능성
427677,형사일반/기타범죄,사회봉사 불참석으로 인한 집행유예 취소와 즉시항고 방법에 대한 상담
427678,디지털 성범죄,랜덤채팅에서의 미성년자와의 상황에 대한 상담
427679,명예훼손/모욕 일반,헬스 트레이너의 모욕적 언사 대응 관련 문의
427680,소년범죄/학교폭력,학폭 문제와 그에 따른 처분에 대한 상담
427681,폭행/협박/상해 일반,상해를 폭행으로 바꾸려하는데 필요한 절차는?
427682,노동/인사,고용승계와 권고사직에 대한 상담
427684,이혼,가압류된 아파트 대출 받는 방법과 재산분할금 마련하는 방법
427685,사기/공갈,소액사기 사건에 대한 대처 방안과 예상 처분
427686,사기/공갈,돈을 갚지 않았을 때 형사소송이 가능한가요?
427688,디지털 성범죄,"미성년자의 성관계 불법촬영, 적용되는 죄명과 처벌은?"
427689,명예훼손/모욕 일반,"영어로 상대방에게 욕을 한 경우, 고소 가능성에 대한 상담"
427691,명예훼손/모욕 일반,게임 중 발생한 다툼과 고소 협박에 대한 상담
427693,디지털 성범죄,카메라 촬영죄 성립 요건에 대한 상담
427694,사기/공갈,전세사기 피해 예방과 단체고소 가능성에 대한 질문
427695,고소/소송절차,민사소송 조정기일 불출석 후의 절차에 대한 이해
427696,손해배상,헤르페스 상해죄 고소와 검찰송치 단계에 대한 상담
427697,사기/공갈,인스타 조건 만남에서 사기 당한 경험 공유
427699,사이버 명예훼손/모욕,게임 중 발생한 다툼과 고소 가능성에 대한 상담
427700,명예훼손/모욕 일반,비밀리에 방에서의 뒷담화: 법적 문제점과 대응 방법
427704,고소/소송절차,녹취록에 대한 이해와 신빙성 검증 방법
427705,사이버 명예훼손/모욕,모욕죄 성립 여부에 대한 궁금증
427709,노동/인사,사기업 입사 시 군전력조사서 요구에 대한 위법성 검토
427710,폭행/협박/상해 일반,데이트 폭행에 대한 상담 및 법적 조치 방안
427712,사기/공갈,3자 사기 대응방법에 대한 상담
427713,디지털 성범죄,카촬죄로 인한 억울함과 무고 가능성에 대한 상담
427715,기타 재산범죄,모르는 사람에게 돈 빌려주고 독촉했더니 고소한다는 상황에 대한 상담
427716,기타 재산범죄,미성년 특수절도 민사소송 상담
427717,형사일반/기타범죄,실업급여 부정수급과 가족회사 상담
427718,상속,상속재산 재분할 및 협의서 취소에 대한 상담
427719,소송/집행절차,가정법원에서 등기 유전자검사 필요성에 대한 상담
427720,사기/공갈,금전적인 문제로 인한 고민 상담
427721,IT/개인정보,개인정보 유출사건과 변호사의 역할
427722,기타 재산범죄,선고판결 예상과 관련한 상담글
427723,디지털 성범죄,FWB 관련 고소 가능성에 대한 상담
427724,고소/소송절차,선고기일 변경신청서에 대한 질문
427725,소비자/공정거래,전화권유판매 관련 질문
427726,수사/체포/구속,"배우자의 특수폭행, 해결 방안은?"
427727,가압류/가처분,민사소송 패소 후 혼인신고와 배우자 재산압류 상담
427728,명예훼손/모욕 일반,직장내 괴롭힘에 대한 법적 대응 방안
427729,사기/공갈,"돈을 빌려주고 받지 못하는 경우, 사기죄로 고소 가능성은?"
427730,기타 재산범죄,담당 수사관 알아보는 방법에 대한 상담
427732,기업법무,전기 자전거 배터리 화재 문제와 해결 방안
427733,이혼,협의이혼 절차와 공증 관련 정보
427734,이혼,협의이혼 중 상대방의 소송 진행에 대한 상담 필요
427735,기타 재산범죄,선고재판 형량에 대한 문의
